0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:38:36 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:38:50 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:39:55 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:40:46 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:41:03 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:41:24 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:41:40 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:41:56 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:42:52 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:43:37 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:43:39 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:44:29 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:48:34 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:48:45 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:49:09 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:49:27 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:49:47 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:50:08 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:50:57 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:51:08 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:51:20 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:51:29 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:52:30 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:52:33 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:53:26 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:54:09 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 8387
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:54:28 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 8388
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:55:14 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 8379
0:0:0:0:0:0:0:1 - - [06/Jan/2022:17:55:24 +0700] "GET /Lab4/layout.jsp HTTP/1.1" 200 8393
